N,Title,PDF URL,Erschienen,Nummer,Ordnung,Auslaufen,Version,Studiengang,AbschlussArt
169,Ordnung zur Errichtung von wissenschaftlichen Einrichtungen und Betriebseinheiten,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfltrod,17.11.2023,2023/124,5. Änderungsordnung (Gesamtfassung),,,,nan
170,"Fachschaftsordnung 1/1, Mathematik, Physik, Informatik",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfltjsw,17.11.2023,2023/123,10. Änderungsordnung (Gesamtfassung),,,,nan
171,Geschäftsordnung des Studierendenparlaments,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaceuqpkj,31.10.2023,2023/117,1. Änderungsordnung (Gesamtfassung),,,,nan
172,"Prüfungsordnung Medical Data Science, Master, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaceuqbbb,31.10.2023,2023/116,4. Änderungsordnung (Gesamtfassung),30.09.2026,2020,Medical Data Science (privatrechtlich),Master
173,"Prüfungsordnung Automatisierungstechnik, Master, (10/2013 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaceogrtx,23.10.2023,2023/113,Berichtigung der 9. Änderungsordnung (Gesamtfassung),31.03.2026,2013 s,Automatisierungstechnik,Master
174,"Prüfungsordnung Automatisierungstechnik, Master, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaceletaj,20.10.2023,2023/112,Berichtigung der 1. Änderungsordnung (Gesamtfassung),,2023,Automatisierungstechnik,Master
175,"Prüfungsordnung Physik Plus, Bachelor, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacejmlde,18.10.2023,2023/111,Berichtigung der Ordnung,,2023,Physik Plus,Bachelor
176,"Prüfungsordnung Mensch-Technik-Interaktion und -Kommunikation, Master, (04/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacdtgmfn,28.09.2023,2023/108,1. Änderungsordnung (Gesamtfassung),,2023,Mensch-Technik-Interaktion und -Kommunikation,Master
177,"Prüfungsordnung Mensch-Technik-Interaktion und -Kommunikation, Bachelor, (04/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacdtgaye,28.09.2023,2023/107,1. Änderungsordnung (Gesamtfassung),,2023,Mensch-Technik-Interaktion und -Kommunikation,Bachelor
178,"Prüfungsordnung Computer Aided Conception and Production in Mechanical Engineering, Master, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacdtfpdp,28.09.2023,2023/106,1. Änderungsordnung (Gesamtfassung),,2021,Comp. Aided Conception/Production in Mech. Engin. (privatrechtlich),Master
179,"Prüfungsordnung Master of Science in Management and Engineering in Computer Aided Mechanical Engineering (MME-CAME), Master, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacdtfklx,28.09.2023,2023/105,2. Änderungsordnung (Gesamtfassung),,2020,Management and Engineering in Computer Aided Mechanical Engineering (privatrechtlich),Master
180,"Prüfungsordnung Master of Science in Management and Engineering in Technology, Innovation, Marketing and Entrepreneurship (MME-TIME), Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacdixnrj,18.09.2023,2023/098,7. Änderungsordnung (Gesamtfassung),,2017,"Management and Engineering in Technology, Innovation, Marketing and Entrepreneurship (privatrechtlich)",Master
181,"Prüfungsordnung Psychologie (polyvalent), Bachelor, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaccsczoz,29.08.2023,2023/093,2. Änderungsordnung (Gesamtfassung),,2021,Psychologie polyvalent,Bachelor
182,Richtlinien für die Erteilung und Vergütung von Lehraufträgen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaccgchmc,14.08.2023,2023/092,Richtlinie,,,,nan
183,"Prüfungsordnung Große beruflichen Fachrichtung Elektrotechnik (Studiengangmodell III), Lehramt an Berufskollegs, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaccdkftv,09.08.2023,2023/091,1. Änderungsordnung (Gesamtfassung),,2017,Elektrotechnik Berufskolleg,Lehramt
184,"Prüfungsordnung Materialwissenschaften, Bachelor, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaccawkpt,07.08.2023,2023/090,Ordnung,,2023,Materialwissenschaften,Bachelor
185,"Prüfungsordnung Unterrichtsfach Informatik, Lehramt an Berufskollegs, Bachelor (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacbsnwnz,25.07.2023,2023/089,1. Änderungsordnung (Gesamtfassung),,2023,Informatik,Lehramt
186,"Prüfungsordnung Unterrichtsfach Informatik, Lehramt an Gymnasien und Gesamtschulen, Bachelor, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacbsntxu,25.07.2023,2023/088,1. Änderungsordnung (Gesamtfassung),,2023,Informatik,Lehramt
